Дисциплина;Курс;Семестр;КодКомпетенции;Компетенция;Тип_Компетенции;Название;УчебныйГод;Код_Студента;Оценка;Описание
Математический анализ;1;1;198598;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2020-2021;69659;Удовл;Экзамен
Математический анализ;1;2;198585;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2020-2021;69659;Удовл;Экзамен
Математический анализ;1;2;198593;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2020-2021;69659;Удовл;Экзамен
Математический анализ;1;2;198598;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2020-2021;69659;Удовл;Экзамен
Математический анализ;2;3;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Удовл;Экзамен
Математический анализ;2;3;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;69659;Удовл;Экзамен
Математический анализ;2;3;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;69659;Удовл;Экзамен
Методы анализа и обработки данных;3;6;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;69659;Зачет;Зачет
Методы анализа и обработки данных;3;6;252927;"Готовность к включению в профессиональное сообщество; способность проводить под научным руководством локальные исследования на основе существующих методов в конкретной области профессиональной деятельности ПК-2";ПК;404а;2022-2023;69659;Зачет;Зачет
Методы анализа и обработки данных;3;6;252928;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2022-2023;69659;Зачет;Зачет
Методы анализа социальных сетей;3;5;252918;Способен управлять своим временем, выстраивать и реализовывать траекторию саморазвития на основе принципов образования в течение всей жизни УК-6;УК;404а;2022-2023;69659;Не изуч.;Зачет
Методы анализа социальных сетей;3;5;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;69659;Не изуч.;Зачет
Методы оптимизации и оптимальное управление;4;7;265821;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2023-2024;69659;Удовл;Экзамен
Методы оптимизации и оптимальное управление;4;7;265823;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2023-2024;69659;Удовл;Экзамен
Модели коммерциализации научных разработок;4;7;265823;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2023-2024;69659;Не изуч.;Зачет
Моделирование бизнес-процессов;3;6;252931;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2022-2023;69659;Не изуч.;Экзамен
Моделирование природных процессов;3;5;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;69659;Не изуч.;Экзамен
Моделирование природных процессов;3;5;252931;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2022-2023;69659;Не изуч.;Экзамен
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы);3;6;252914;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2022-2023;69659;Зачет;Прак.
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы);3;6;252915;Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде УК-3;УК;404а;2022-2023;69659;Зачет;Прак.
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы);3;6;252921;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2022-2023;69659;Зачет;Прак.
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы);3;6;252922;Способен применять компьютерные/суперкомпьютерные методы, современное программное обеспечение, в том числе отечественного происхождения, для решения задач профессиональной деятельности ОПК-2;ОПК;404а;2022-2023;69659;Зачет;Прак.
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы);3;6;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;69659;Зачет;Прак.
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы);3;6;252927;"Готовность к включению в профессиональное сообщество; способность проводить под научным руководством локальные исследования на основе существующих методов в конкретной области профессиональной деятельности ПК-2";ПК;404а;2022-2023;69659;Зачет;Прак.
